incident_id,visibility,method,root_cause_idx,root_cause_node,rank,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,AP
3,0.0,MonitorRank,7654,MS_39191,762,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013123359580052493
3,0.0,MicroRank,7654,MS_39191,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
3,0.0,CORAL,7654,MS_39191,645,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015503875968992248
3,0.0,TraceRank,7654,MS_39191,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
3,0.0,IRWR,7654,MS_39191,590,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001694915254237288
3,0.0,eIRWR,7654,MS_39191,145,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931
4,0.0,MicroRCA,7554,MS_38769,15530,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.43915003219575e-05
4,0.0,CloudRanger,7554,MS_38769,13406,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.459346561241235e-05
4,0.0,In-Degree,7554,MS_38769,15339,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.519329812895235e-05
4,0.0,MicroHECL,7554,MS_38769,12281,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.14265939255761e-05
4,0.0,TraceDiag,7554,MS_38769,9806,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010197838058331633
4,0.0,Neighbor Corr.,7554,MS_38769,16018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.242976651267325e-05
4,0.0,MonitorRank,7554,MS_38769,15538,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.435834727764191e-05
4,0.0,MicroRank,7554,MS_38769,2,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5
4,0.0,CORAL,7554,MS_38769,15530,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.43915003219575e-05
4,0.0,TraceRank,7554,MS_38769,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
4,0.0,IRWR,7554,MS_38769,15521,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.442883834804459e-05
