visibility,method,n_incidents,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,MRR,MAP,avg_rank,median_rank,dataset_index,n_rows,n_nodes,n_edges
0.1,Neighbor Corr.,200,0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.01,0.012112722327872456,0.012112722327872456,439.64,132.0,84,8468727,11966,30727
0.1,MonitorRank,200,0.065,0.16,0.195,0.065,0.05333333333333333,0.03900000000000001,0.065,0.16,0.195,0.13573848107918426,0.13573848107918426,754.875,70.5,84,8468727,11966,30727
0.1,MicroRank,200,0.77,1.0,1.0,0.77,0.33333333333333326,0.2,0.77,1.0,1.0,0.885,0.885,1.23,1.0,84,8468727,11966,30727
0.1,CORAL,200,0.065,0.165,0.19,0.065,0.055,0.038,0.065,0.165,0.19,0.13799603952422873,0.13799603952422873,642.9,59.0,84,8468727,11966,30727
0.1,TraceRank,200,0.485,1.0,1.0,0.485,0.33333333333333326,0.2,0.485,1.0,1.0,0.725,0.725,1.62,2.0,84,8468727,11966,30727
0.1,IRWR,200,0.095,0.275,0.345,0.095,0.09166666666666666,0.069,0.095,0.275,0.345,0.20744009979555153,0.20744009979555153,487.73,24.0,84,8468727,11966,30727
0.1,eIRWR,200,0.055,0.345,0.425,0.055,0.115,0.085,0.055,0.345,0.425,0.2182474603866861,0.2182474603866861,159.74,18.0,84,8468727,11966,30727
0.15,MicroRCA,200,0.125,0.195,0.245,0.125,0.065,0.049,0.125,0.195,0.245,0.18685392850078272,0.18685392850078272,177.435,41.0,84,8468727,11966,30727
0.15,CloudRanger,200,0.01,0.01,0.015,0.01,0.003333333333333333,0.0030000000000000005,0.01,0.01,0.015,0.014948502307952782,0.014948502307952782,601.29,486.0,84,8468727,11966,30727
0.15,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008399356511277906,0.0008399356511277906,5313.405,5557.5,84,8468727,11966,30727
0.15,MicroHECL,200,0.09,0.175,0.195,0.09,0.05833333333333333,0.03900000000000001,0.09,0.175,0.195,0.14212238656345455,0.14212238656345455,4264.095,187.0,84,8468727,11966,30727
0.15,TraceDiag,200,0.09,0.14,0.17,0.09,0.04666666666666667,0.034,0.09,0.14,0.17,0.13937090612554848,0.13937090612554848,322.535,93.0,84,8468727,11966,30727
0.15,Neighbor Corr.,200,0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.01,0.014497766993836581,0.014497766993836581,172.585,99.5,84,8468727,11966,30727
0.15,MonitorRank,200,0.13,0.21,0.25,0.13,0.06999999999999999,0.05,0.13,0.21,0.25,0.19301176082701157,0.19301176082701157,230.175,48.0,84,8468727,11966,30727
0.15,MicroRank,200,0.77,1.0,1.0,0.77,0.33333333333333326,0.2,0.77,1.0,1.0,0.885,0.885,1.23,1.0,84,8468727,11966,30727
0.15,CORAL,200,0.12,0.195,0.25,0.12,0.065,0.05,0.12,0.195,0.25,0.18666328712223368,0.18666328712223368,182.595,40.0,84,8468727,11966,30727
0.15,TraceRank,200,0.495,1.0,1.0,0.495,0.33333333333333326,0.2,0.495,1.0,1.0,0.7308333333333333,0.7308333333333333,1.605,2.0,84,8468727,11966,30727
0.15,IRWR,200,0.165,0.385,0.425,0.165,0.12833333333333333,0.085,0.165,0.385,0.425,0.2838542849556394,0.2838542849556394,107.89,13.5,84,8468727,11966,30727
0.15,eIRWR,200,0.1,0.455,0.525,0.1,0.15166666666666667,0.105,0.1,0.455,0.525,0.30175578017293275,0.30175578017293275,32.575,5.0,84,8468727,11966,30727
0.2,MicroRCA,200,0.145,0.235,0.285,0.145,0.07833333333333332,0.05700000000000001,0.145,0.235,0.285,0.21572035215617105,0.21572035215617105,68.83,28.5,84,8468727,11966,30727
0.2,CloudRanger,200,0.01,0.01,0.015,0.01,0.003333333333333333,0.0030000000000000005,0.01,0.01,0.015,0.01593373292848266,0.01593373292848266,399.775,346.0,84,8468727,11966,30727
0.2,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008399356511277906,0.0008399356511277906,5313.405,5557.5,84,8468727,11966,30727
0.2,MicroHECL,200,0.095,0.175,0.195,0.095,0.05833333333333333,0.03900000000000001,0.095,0.175,0.195,0.145544496988786,0.145544496988786,4263.125,171.5,84,8468727,11966,30727
