index,n_rows,n_nodes,n_edges,density,avg_degree,file_size_mb
0,13332356,17690,52828,0.0001688235601094867,2.98631995477671,1361.6487874984741
1,12973858,17193,51419,0.00017395846248528698,2.990693887047054,1323.7670335769653
2,12880543,16849,50125,0.0001765760923079854,2.974954003204938,1312.7402868270874
3,12796067,16818,49880,0.00017636141412238985,2.96586990129623,1304.4021921157837
4,12677224,16534,48570,0.00017767998318328647,2.9375831619692754,1291.5605459213257
5,12868077,16591,48436,0.00017597433033131356,2.919414140196492,1316.3660612106323
6,12390627,16500,48090,0.00017664982450727042,2.9145454545454546,1273.66494846344
7,12559934,16356,47721,0.00017839467446981218,2.9176449009537784,1291.0182027816772
8,12578449,16323,47421,0.0001779907175481777,2.905164491821356,1292.6618204116821
9,12587892,16052,46395,0.00018006940653889748,2.8902940443558434,1295.085446357727
10,12608476,16379,47313,0.00017637305470637887,2.8886378899810734,1294.9816360473633
11,12040831,15954,46160,0.00018136515326797414,2.8933182900839913,1236.060676574707
12,12197497,16076,46515,0.00017999649410246896,2.8934436426971883,1253.2578887939453
13,12045369,16318,46817,0.00017583136137580834,2.869040323569065,1237.3954362869263
14,12349393,16555,48428,0.00017671133090437356,2.9252793717909995,1271.109146118164
15,13554708,17151,51795,0.00017608982672006308,3.019940528249082,1399.385856628418
16,15279224,18134,57306,0.0001742756946605894,3.1601411712804675,1586.0359964370728
17,16102618,19007,61524,0.00017031004505775303,3.236912716367654,1676.437222480774
18,14777934,18976,61212,0.00017000046657646189,3.2257588532883643,1535.6380338668823
19,11857473,17217,51724,0.00017450278783419086,3.0042399953534296,1220.351999282837
20,11308627,15687,43588,0.00017713926363954245,2.7786064894498628,1160.8391695022583
21,11292976,14934,41259,0.00018501012033473636,2.762756126958618,1158.3211107254028
22,11346612,14883,41289,0.00018641574147995542,2.774239064704697,1167.9669780731201
23,11375080,14879,41083,0.00018558541884324743,2.7611398615498355,1169.0051918029785
24,10802575,14606,39938,0.00018722052339710415,2.734355744214706,1105.9106197357178
25,11046743,14629,39547,0.0001848051000842962,2.703329004033085,1131.3664255142212
26,11023139,14650,39692,0.0001849512960499814,2.7093515358361775,1129.1150693893433
27,10745672,14424,38940,0.0001871779256255867,2.6996672212978368,1099.9841938018799
28,11081356,14364,39002,0.00018904549001985032,2.71526037315511,1134.9898824691772
29,10889147,14518,39249,0.00018622797771960105,2.7034715525554485,1115.3467864990234
30,10867403,14857,40288,0.00018253354751666118,2.7117183819075183,1112.6734437942505
31,11096108,14627,39731,0.00018571571966451676,2.716278115813222,1137.1580305099487
32,11237611,14510,39818,0.00018913615204688418,2.7441764300482427,1152.2103004455566
33,11095356,15167,41788,0.00018166900920336035,2.755192193578163,1136.3502645492554
34,11465006,15247,42723,0.00018378980857441598,2.802059421525546,1175.40221118927
35,12516997,15839,45724,0.00018227038824286315,2.8867984089904666,1286.8057975769043
36,13292914,16936,50387,0.00017568005373291612,2.9751417099669344,1371.9146976470947
37,14348716,17486,54207,0.00017729613242454742,3.1000228754432118,1486.792594909668
38,13575733,17665,54532,0.00017476269295298573,3.0870082083215395,1403.7869348526
39,10915324,16166,47009,0.00017988822202252925,2.9078931089941853,1118.9563694000244
40,10080797,14301,37150,0.000181658771967142,2.5977204391301307,1029.2839660644531
41,10113472,13774,35711,0.00018824063777326007,2.592638304051111,1041.0991315841675
42,9812980,13591,34929,0.00018911034327839663,2.5700095651534105,1000.5755844116211
43,9730433,13733,35292,0.0001871444946609731,2.569868200684483,992.8126449584961
44,9757158,13610,35198,0.00019003502296126052,2.5861866274797944,995.9939470291138
45,9913916,13687,35294,0.00018841526194157663,2.5786512749324175,1010.8773956298828
46,9821072,13562,35040,0.000190523539656371,2.5836897212800474,1001.7489900588989
47,9675046,13435,34474,0.00019100672690077153,2.5659843691849646,987.344898223877
48,9863306,13477,34646,0.0001907650762059292,2.5707501669511017,1007.291877746582
49,9683573,13490,34512,0.00018966116915625344,2.5583395107487026,988.2231960296631
50,9397206,13931,36021,0.0001856189692579307,2.5856722417629747,957.8283615112305
51,9813424,13922,36531,0.00018849051362449843,2.6239764401666426,1006.9000902175903
