incident_id,visibility,method,root_cause_idx,root_cause_node,rank,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,AP
0,0.0,MicroRCA,2205,MS_15997,42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808
0,0.0,CloudRanger,2205,MS_15997,15181,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.58718134510243e-05
0,0.0,In-Degree,2205,MS_15997,10925,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.153318077803204e-05
0,0.0,MicroHECL,2205,MS_15997,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
0,0.0,TraceDiag,2205,MS_15997,22164,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.511820970943873e-05
0,0.0,Neighbor Corr.,2205,MS_15997,226,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004424778761061947
0,0.0,MonitorRank,2205,MS_15997,75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334
0,0.0,MicroRank,2205,MS_15997,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
0,0.0,CORAL,2205,MS_15997,43,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372
0,0.0,TraceRank,2205,MS_15997,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
0,0.0,IRWR,2205,MS_15997,34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
0,0.0,eIRWR,2205,MS_15997,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
1,0.0,MicroRCA,18883,MS_6123,19464,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.1376900945334976e-05
1,0.0,CloudRanger,18883,MS_6123,19569,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.1101231539680106e-05
1,0.0,In-Degree,18883,MS_6123,14028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.128599942971201e-05
1,0.0,MicroHECL,18883,MS_6123,18906,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.289326139849783e-05
1,0.0,TraceDiag,18883,MS_6123,18901,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.290725358446643e-05
1,0.0,Neighbor Corr.,18883,MS_6123,19323,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.175179837499353e-05
1,0.0,MonitorRank,18883,MS_6123,19677,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.082075519642222e-05
1,0.0,MicroRank,18883,MS_6123,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
1,0.0,CORAL,18883,MS_6123,19466,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.1371622315832736e-05
1,0.0,TraceRank,18883,MS_6123,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
1,0.0,IRWR,18883,MS_6123,19301,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.181078700585462e-05
1,0.0,eIRWR,18883,MS_6123,20036,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.9910161708923936e-05
2,0.0,MicroRCA,15956,MS_53338,17497,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.715265474081271e-05
2,0.0,CloudRanger,15956,MS_53338,6536,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001529987760097919
2,0.0,In-Degree,15956,MS_53338,16177,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.181615874389565e-05
