visibility,chi2,p_value,significant
0.0,1063.1062084296318,5.002746229368465e-221,True
0.05,1247.3288394007302,1.0175281895707746e-260,True
0.1,1478.8456691798526,1.16560592885163e-310,True
0.15,1662.7437809620192,0.0,True
0.2,1774.232153055396,0.0,True
0.3,1898.1385296559356,0.0,True
0.5,1923.645458655188,0.0,True
