visibility,method,n_incidents,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,MRR,MAP,avg_rank,median_rank,dataset_index,n_rows,n_nodes,n_edges
0.1,Neighbor Corr.,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00415946819039761,0.00415946819039761,899.455,270.5,297,20592271,24368,87843
0.1,MonitorRank,200,0.025,0.105,0.14,0.025,0.035,0.027999999999999997,0.025,0.105,0.14,0.08835507033070039,0.08835507033070039,1472.475,86.0,297,20592271,24368,87843
0.1,MicroRank,200,0.865,1.0,1.0,0.865,0.33333333333333326,0.2,0.865,1.0,1.0,0.9258333333333334,0.9258333333333334,1.175,1.0,297,20592271,24368,87843
0.1,CORAL,200,0.025,0.105,0.145,0.025,0.035,0.029000000000000005,0.025,0.105,0.145,0.09011456734474993,0.09011456734474993,1214.74,75.0,297,20592271,24368,87843
0.1,TraceRank,200,0.105,0.315,0.54,0.105,0.105,0.10800000000000001,0.105,0.315,0.54,0.3069404761904762,0.3069404761904762,5.095,5.0,297,20592271,24368,87843
0.1,IRWR,200,0.05,0.245,0.31,0.05,0.08166666666666667,0.062,0.05,0.245,0.31,0.17454352223350558,0.17454352223350558,896.18,29.5,297,20592271,24368,87843
0.1,eIRWR,200,0.02,0.235,0.28,0.02,0.07833333333333332,0.055999999999999994,0.02,0.235,0.28,0.1468065174203036,0.1468065174203036,259.365,52.5,297,20592271,24368,87843
0.15,MicroRCA,200,0.05,0.13,0.17,0.05,0.04333333333333333,0.034,0.05,0.13,0.17,0.1162863552188909,0.1162863552188909,321.2,48.0,297,20592271,24368,87843
0.15,CloudRanger,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001267060948347407,0.001267060948347407,1765.545,1218.5,297,20592271,24368,87843
0.15,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000321358130141692,0.000321358130141692,11502.85,11765.5,297,20592271,24368,87843
0.15,MicroHECL,200,0.065,0.125,0.155,0.065,0.04166666666666666,0.031,0.065,0.125,0.155,0.11188739824170466,0.11188739824170466,7449.49,174.5,297,20592271,24368,87843
0.15,TraceDiag,200,0.03,0.07,0.105,0.03,0.02333333333333333,0.021,0.03,0.07,0.105,0.07451754163009248,0.07451754163009248,634.23,106.0,297,20592271,24368,87843
0.15,Neighbor Corr.,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005366733324853899,0.005366733324853899,366.225,196.5,297,20592271,24368,87843
0.15,MonitorRank,200,0.05,0.145,0.185,0.05,0.04833333333333333,0.037000000000000005,0.05,0.145,0.185,0.11924962009831226,0.11924962009831226,441.89,56.0,297,20592271,24368,87843
0.15,MicroRank,200,0.865,1.0,1.0,0.865,0.33333333333333326,0.2,0.865,1.0,1.0,0.9258333333333334,0.9258333333333334,1.175,1.0,297,20592271,24368,87843
0.15,CORAL,200,0.055,0.135,0.185,0.055,0.045,0.037000000000000005,0.055,0.135,0.185,0.12131588830108248,0.12131588830108248,331.125,48.0,297,20592271,24368,87843
0.15,TraceRank,200,0.075,0.315,0.555,0.075,0.105,0.111,0.075,0.315,0.555,0.29282142857142857,0.29282142857142857,5.06,5.0,297,20592271,24368,87843
0.15,IRWR,200,0.125,0.34,0.4,0.125,0.11333333333333333,0.08,0.125,0.34,0.4,0.2548671828576701,0.2548671828576701,182.835,13.5,297,20592271,24368,87843
0.15,eIRWR,200,0.065,0.33,0.41,0.065,0.11,0.08200000000000002,0.065,0.33,0.41,0.22459399543460773,0.22459399543460773,59.215,11.0,297,20592271,24368,87843
0.2,MicroRCA,200,0.065,0.17,0.22,0.065,0.056666666666666664,0.044000000000000004,0.065,0.17,0.22,0.1482006322928957,0.1482006322928957,100.085,35.0,297,20592271,24368,87843
0.2,CloudRanger,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017271241827487578,0.0017271241827487578,1022.805,743.0,297,20592271,24368,87843
0.2,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000321358130141692,0.000321358130141692,11502.85,11765.5,297,20592271,24368,87843
0.2,MicroHECL,200,0.065,0.125,0.155,0.065,0.04166666666666666,0.031,0.065,0.125,0.155,0.11198113101700599,0.11198113101700599,7445.55,173.5,297,20592271,24368,87843
0.2,TraceDiag,200,0.035,0.095,0.135,0.035,0.03166666666666666,0.027000000000000003,0.035,0.095,0.135,0.09088264108176354,0.09088264108176354,275.61,77.5,297,20592271,24368,87843
